Question,Context,Answer 1,Score 1,Feedback 1,Answer 2,Score 2,Feedback 2
Who should take biotin supplements?,Biotin supplements have been studied as a treatment for a number of conditions. Risks.,People with biotin deficiency or hair loss.,10,Correct and concise answer.,People who want longer hair.,4,"Partial answer, missing information about medical conditions."
What are the side effects of taking biotin?,"Even at high levels, biotin appears to be fairly safe. The maximum safe dose of biotin is unknown.",The maximum safe dose of biotin is unknown.,10,"Perfect response, clear and accurate.",High levels of biotin can be harmful.,6,"Vague answer, could specify the potential harm."
What is biotin?,"It is also known as vitamin H. Because biotin is present in so many different kinds of foods, deficiency is rare. Genuine biotin deficiency is quite rare.",Biotin is a B vitamin essential for metabolism.,10,"Perfect answer, well done!","Biotin is found in many foods, deficiency is rare.",8,"Good, but could mention it's also known as vitamin H."
How many people get Crohn's disease?,"As many as 700,000 Americans have the disease. Although there's no cure, there are treatments to manage it.","As many as 700,000 Americans have the disease.",10,"Perfect answer, well done!","Around 300,000 people worldwide are affected by Crohn's disease.",8,"Good attempt, but the number is specific to Americans only."
What medical and insurance information should you gather before your knee replacement surgery?,"Chances are, you'll be asked for the same medical and insurance information over and again in the coming weeks. Carry a handy list of: All your medication and supplements Any health conditions you have Your insurance policy and membership numbers Your doctors' names and phone numbers Persons to contact in an emergency Line up help.","All medication, health conditions, insurance, doctor's info, emergency contacts.",10,"Perfect answer, includes all necessary information.","Medication, insurance, doctor's info, emergency contacts, health conditions.",9,"Good answer, just switch the order of health conditions and insurance for better clarity."
What help might you need after your knee replacement surgery?,"You're going to need it while you recover. If you live on your own, recruit a relative or close friend to stay with you for a while. Ask a neighbor to take out the garbage or bring in the mail. Freeze extra meals or stock up your pantry before you head to the hospital.",Having a relative or friend stay with you.,10,Correct and complete answer.,Ask a neighbor to water your plants.,3,"Partial answer, not relevant to the question."
How can you prepare for knee replacement surgery?,"Prepare now to make the surgery go smoothly and to speed up your recovery. How long will the surgery take? Could I have the surgery as an outpatient, without a hospital stay? What type of anesthesia will you need? What kind of rehab will you get? What type of assistive devices will I need at home after the procedure? How long will you likely be off work? Write down the answers. Better yet, have a trusted friend or family member come to your appointment to take notes.",Follow pre-surgery instructions from your doctor.,10,"Perfect, concise answer that covers all aspects of preparation.",Just show up for the surgery.,2,Missing important details about pre-surgery preparation steps.
What causes abnormal prolactin (PRL) levels?,"Your doctor may order a prolactin test when you report having the following symptoms: For women Irregular or no periods Infertility Breast milk discharge when you're not pregnant or nursing Tenderness in your breast Menopausal symptoms such as hot flashes and vaginal dryness For men Decreased sex drive Difficulty in getting an erection Breast tenderness or enlargement Breast milk production (very rare) For both Unexplained headaches Vision problems Normally, men and nonpregnant women have just small traces of prolactin in their blood. When you have high levels, this could be caused by: Prolactinoma (a benign tumor in your pituitary gland that produces too much prolactin) Hypothyroidism (your thyroid gland isn't producing enough hormones) Diseases affecting the hypothalamus(the part of the brain that controls the pituitary gland) Anorexia (an eating disorder) Drugs that are used to treat depression, psychosis, and high blood pressure Chest injury or irritation (for example, scars, shingles, or even a bra that's too tight) Also, kidney disease, liver failure, and polycystic ovarian syndrome (a hormone imbalance that affects ovaries) all can affect the body's ability to remove prolactin.","Prolactinoma, hypothyroidism, diseases affecting hypothalamus.",10,Correct and concise answer covering common causes.,"High blood pressure, chest injury, kidney disease, liver failure.",7,"Partial answer, missing key causes like anorexia and drug side effects."
When is a prolactin (PRL) test needed for men and women?,"Your doctor may order a prolactin test when you report having the following symptoms: For women Irregular or no periods Infertility Breast milk discharge when you're not pregnant or nursing Tenderness in your breast Menopausal symptoms such as hot flashes and vaginal dryness For men Decreased sex drive Difficulty in getting an erection Breast tenderness or enlargement Breast milk production (very rare) For both Unexplained headaches Vision problems Normally, men and nonpregnant women have just small traces of prolactin in their blood.","When experiencing irregular periods, infertility, or vision problems.",7,"Good mention of common symptoms, but missed mentioning breast-related symptoms.","Needed for breast tenderness, hot flashes, or headaches.",6,"Partially correct, but missed mentioning specific male-related symptoms."
What happens if your prolactin (PRL) levels are low?,"If your prolactin levels are below the normal range, this could mean your pituitary gland isn't working at full steam. That's known as hypopituitarism. Lower levels of prolactin usually do not need medical treatment.","Lower prolactin levels may indicate hypopituitarism, needing monitoring.",8,"Good explanation, could be more concise.",It means there might be an issue with the pituitary gland.,7,"Correct, but could provide more detail on implications."
